Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,conditions_cm,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study
SRR16078029,RNA-Seq,152,1424924456,PRJNA766450,SAMN21847641,534927453,Human beta cell line generated from human fetal pancreas,INSERM,omental stromal cells (D0) from patient 2,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX12364491,NextSeq 500,GSM5597540,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-09-29T00:00:00Z,2021-09-26T22:38:00Z,1,GSM5597540,EndoC-ßH1,SRP338778
SRR16078030,RNA-Seq,152,1385533960,PRJNA766450,SAMN21847641,518026499,Human beta cell line generated from human fetal pancreas,INSERM,omental stromal cells (D0) from patient 2,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX12364491,NextSeq 500,GSM5597540,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-09-29T00:00:00Z,2021-09-26T22:37:00Z,1,GSM5597540,EndoC-ßH1,SRP338778
SRR16078031,RNA-Seq,152,1444004256,PRJNA766450,SAMN21847641,538277482,Human beta cell line generated from human fetal pancreas,INSERM,omental stromal cells (D0) from patient 2,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX12364491,NextSeq 500,GSM5597540,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-09-29T00:00:00Z,2021-09-26T22:37:00Z,1,GSM5597540,EndoC-ßH1,SRP338778
SRR16078033,RNA-Seq,152,1444155800,PRJNA766450,SAMN21847642,540453975,Human beta cell line generated from human fetal pancreas,INSERM,omental stromal cells (D0) from patient 1,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX12364490,NextSeq 500,GSM5597539,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-09-29T00:00:00Z,2021-09-26T22:37:00Z,1,GSM5597539,EndoC-ßH1,SRP338778
SRR16078034,RNA-Seq,152,1414819496,PRJNA766450,SAMN21847642,528288371,Human beta cell line generated from human fetal pancreas,INSERM,omental stromal cells (D0) from patient 1,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX12364490,NextSeq 500,GSM5597539,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-09-29T00:00:00Z,2021-09-26T22:38:00Z,1,GSM5597539,EndoC-ßH1,SRP338778
SRR16078035,RNA-Seq,152,1468045792,PRJNA766450,SAMN21847642,546221257,Human beta cell line generated from human fetal pancreas,INSERM,omental stromal cells (D0) from patient 1,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX12364490,NextSeq 500,GSM5597539,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-09-29T00:00:00Z,2021-09-26T22:37:00Z,1,GSM5597539,EndoC-ßH1,SRP338778
SRR16078037,RNA-Seq,152,1713340960,PRJNA766450,SAMN21847643,639795400,Human beta cell line generated from human fetal pancreas,INSERM,betaH1 Control,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX12364489,NextSeq 500,GSM5597538,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-09-29T00:00:00Z,2021-09-26T22:38:00Z,1,GSM5597538,EndoC-ßH1,SRP338778
SRR16078038,RNA-Seq,152,1664718744,PRJNA766450,SAMN21847643,619845657,Human beta cell line generated from human fetal pancreas,INSERM,betaH1 Control,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX12364489,NextSeq 500,GSM5597538,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-09-29T00:00:00Z,2021-09-26T22:38:00Z,1,GSM5597538,EndoC-ßH1,SRP338778
SRR16078039,RNA-Seq,152,1740640160,PRJNA766450,SAMN21847643,646089023,Human beta cell line generated from human fetal pancreas,INSERM,betaH1 Control,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX12364489,NextSeq 500,GSM5597538,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-09-29T00:00:00Z,2021-09-26T22:38:00Z,1,GSM5597538,EndoC-ßH1,SRP338778
SRR16078041,RNA-Seq,152,1409032400,PRJNA766450,SAMN21847644,528126339,Human beta cell line generated from human fetal pancreas,INSERM,betaH1 Control,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX12364488,NextSeq 500,GSM5597537,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-09-29T00:00:00Z,2021-09-26T22:37:00Z,1,GSM5597537,EndoC-ßH1,SRP338778
SRR16078042,RNA-Seq,152,1361156048,PRJNA766450,SAMN21847644,507276582,Human beta cell line generated from human fetal pancreas,INSERM,betaH1 Control,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX12364488,NextSeq 500,GSM5597537,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-09-29T00:00:00Z,2021-09-26T22:38:00Z,1,GSM5597537,EndoC-ßH1,SRP338778
SRR16078043,RNA-Seq,152,1423362656,PRJNA766450,SAMN21847644,529062173,Human beta cell line generated from human fetal pancreas,INSERM,betaH1 Control,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX12364488,NextSeq 500,GSM5597537,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-09-29T00:00:00Z,2021-09-26T22:37:00Z,1,GSM5597537,EndoC-ßH1,SRP338778
SRR16078045,RNA-Seq,152,1192694904,PRJNA766450,SAMN21847645,447711345,Human beta cell line generated from human fetal pancreas,INSERM,betaH1 Control,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX12364487,NextSeq 500,GSM5597536,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-09-29T00:00:00Z,2021-09-26T22:37:00Z,1,GSM5597536,EndoC-ßH1,SRP338778
SRR16078046,RNA-Seq,152,1148140360,PRJNA766450,SAMN21847645,428727198,Human beta cell line generated from human fetal pancreas,INSERM,betaH1 Control,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX12364487,NextSeq 500,GSM5597536,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-09-29T00:00:00Z,2021-09-26T22:36:00Z,1,GSM5597536,EndoC-ßH1,SRP338778
SRR16078047,RNA-Seq,152,1203756704,PRJNA766450,SAMN21847645,448547400,Human beta cell line generated from human fetal pancreas,INSERM,betaH1 Control,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX12364487,NextSeq 500,GSM5597536,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-09-29T00:00:00Z,2021-09-26T22:37:00Z,1,GSM5597536,EndoC-ßH1,SRP338778
