Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,condition,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study
SRR10853175,RNA-Seq,75,390793200,PRJNA600013,SAMN13765553,154805459,GEO,MHO,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7523621,GSM4257071,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:01:00Z,1,GSM4257071,Subcutaneous adipose tissue,SRP240641
SRR10853176,RNA-Seq,75,483964950,PRJNA600013,SAMN13765544,181390877,GEO,MHO,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX7523622,GSM4257072,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:01:00Z,1,GSM4257072,Subcutaneous adipose tissue,SRP240641
SRR10853177,RNA-Seq,75,494898150,PRJNA600013,SAMN13765544,185751600,GEO,MHO,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX7523622,GSM4257072,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:01:00Z,1,GSM4257072,Subcutaneous adipose tissue,SRP240641
SRR10853178,RNA-Seq,75,501052650,PRJNA600013,SAMN13765544,186788426,GEO,MHO,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7523622,GSM4257072,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:01:00Z,1,GSM4257072,Subcutaneous adipose tissue,SRP240641
SRR10853179,RNA-Seq,75,353786400,PRJNA600013,SAMN13766767,132147688,GEO,MHO,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX7523623,GSM4257073,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:01:00Z,1,GSM4257073,Subcutaneous adipose tissue,SRP240641
SRR10853180,RNA-Seq,75,362146500,PRJNA600013,SAMN13766767,135485564,GEO,MHO,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7523623,GSM4257073,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:01:00Z,1,GSM4257073,Subcutaneous adipose tissue,SRP240641
SRR10853181,RNA-Seq,75,366142875,PRJNA600013,SAMN13766767,136138250,GEO,MHO,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7523623,GSM4257073,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:01:00Z,1,GSM4257073,Subcutaneous adipose tissue,SRP240641
SRR10853182,RNA-Seq,75,337490925,PRJNA600013,SAMN13766758,126375209,GEO,MHO,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX7523624,GSM4257074,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:01:00Z,1,GSM4257074,Subcutaneous adipose tissue,SRP240641
SRR10853183,RNA-Seq,75,344766225,PRJNA600013,SAMN13766758,129354379,GEO,MHO,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX7523624,GSM4257074,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:01:00Z,1,GSM4257074,Subcutaneous adipose tissue,SRP240641
SRR10853184,RNA-Seq,75,348626625,PRJNA600013,SAMN13766758,129961484,GEO,MHO,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX7523624,GSM4257074,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:01:00Z,1,GSM4257074,Subcutaneous adipose tissue,SRP240641
SRR10853185,RNA-Seq,75,395531625,PRJNA600013,SAMN13766748,147862299,GEO,MHO,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX7523625,GSM4257075,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:01:00Z,1,GSM4257075,Subcutaneous adipose tissue,SRP240641
SRR10853186,RNA-Seq,75,405363000,PRJNA600013,SAMN13766748,151814451,GEO,MHO,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX7523625,GSM4257075,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:02:00Z,1,GSM4257075,Subcutaneous adipose tissue,SRP240641
SRR10853187,RNA-Seq,75,410766225,PRJNA600013,SAMN13766748,152820048,GEO,MHO,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX7523625,GSM4257075,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:02:00Z,1,GSM4257075,Subcutaneous adipose tissue,SRP240641
SRR10853188,RNA-Seq,75,477493500,PRJNA600013,SAMN13766737,176687951,GEO,MHO,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX7523626,GSM4257076,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:02:00Z,1,GSM4257076,Subcutaneous adipose tissue,SRP240641
SRR10853189,RNA-Seq,75,485014650,PRJNA600013,SAMN13766737,179797282,GEO,MHO,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX7523626,GSM4257076,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:02:00Z,1,GSM4257076,Subcutaneous adipose tissue,SRP240641
SRR10853190,RNA-Seq,75,492534675,PRJNA600013,SAMN13766737,181298996,GEO,MHO,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX7523626,GSM4257076,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:02:00Z,1,GSM4257076,Subcutaneous adipose tissue,SRP240641
SRR10853191,RNA-Seq,75,580499250,PRJNA600013,SAMN13766729,216094665,GEO,MHO,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX7523627,GSM4257077,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:03:00Z,1,GSM4257077,Subcutaneous adipose tissue,SRP240641
SRR10853192,RNA-Seq,75,589132800,PRJNA600013,SAMN13766729,219553555,GEO,MHO,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX7523627,GSM4257077,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:03:00Z,1,GSM4257077,Subcutaneous adipose tissue,SRP240641
SRR10853193,RNA-Seq,75,597757800,PRJNA600013,SAMN13766729,221177186,GEO,MHO,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX7523627,GSM4257077,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:03:00Z,1,GSM4257077,Subcutaneous adipose tissue,SRP240641
SRR10853194,RNA-Seq,75,509830125,PRJNA600013,SAMN13765679,189595340,GEO,MUO,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX7523628,GSM4257078,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:03:00Z,1,GSM4257078,Subcutaneous adipose tissue,SRP240641
SRR10853195,RNA-Seq,75,517644825,PRJNA600013,SAMN13765679,192877297,GEO,MUO,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX7523628,GSM4257078,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:03:00Z,1,GSM4257078,Subcutaneous adipose tissue,SRP240641
SRR10853196,RNA-Seq,75,524476575,PRJNA600013,SAMN13765679,194011524,GEO,MUO,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX7523628,GSM4257078,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:03:00Z,1,GSM4257078,Subcutaneous adipose tissue,SRP240641
SRR10853197,RNA-Seq,75,400483350,PRJNA600013,SAMN13766709,159896609,GEO,MUO,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX7523629,GSM4257079,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:03:00Z,1,GSM4257079,Subcutaneous adipose tissue,SRP240641
SRR10853198,RNA-Seq,75,405924825,PRJNA600013,SAMN13766709,161342831,GEO,MUO,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX7523629,GSM4257079,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:02:00Z,1,GSM4257079,Subcutaneous adipose tissue,SRP240641
SRR10853199,RNA-Seq,75,377103525,PRJNA600013,SAMN13766702,140622828,GEO,MUO,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX7523630,GSM4257080,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:02:00Z,1,GSM4257080,Subcutaneous adipose tissue,SRP240641
SRR10853200,RNA-Seq,75,384196575,PRJNA600013,SAMN13766702,143559394,GEO,MUO,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX7523630,GSM4257080,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:03:00Z,1,GSM4257080,Subcutaneous adipose tissue,SRP240641
SRR10853201,RNA-Seq,75,389549775,PRJNA600013,SAMN13766702,144591796,GEO,MUO,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX7523630,GSM4257080,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:03:00Z,1,GSM4257080,Subcutaneous adipose tissue,SRP240641
SRR10853202,RNA-Seq,75,391355625,PRJNA600013,SAMN13766694,145985131,GEO,MUO,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX7523631,GSM4257081,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:03:00Z,1,GSM4257081,Subcutaneous adipose tissue,SRP240641
SRR10853203,RNA-Seq,75,397684725,PRJNA600013,SAMN13766694,148514528,GEO,MUO,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX7523631,GSM4257081,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:03:00Z,1,GSM4257081,Subcutaneous adipose tissue,SRP240641
SRR10853204,RNA-Seq,75,402642075,PRJNA600013,SAMN13766694,149402641,GEO,MUO,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX7523631,GSM4257081,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:03:00Z,1,GSM4257081,Subcutaneous adipose tissue,SRP240641
SRR10853205,RNA-Seq,75,1437752850,PRJNA600013,SAMN13766680,572675258,GEO,MUO,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX7523632,GSM4257082,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:07:00Z,1,GSM4257082,Subcutaneous adipose tissue,SRP240641
SRR10853206,RNA-Seq,75,1460118150,PRJNA600013,SAMN13766680,579092663,GEO,MUO,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX7523632,GSM4257082,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:07:00Z,1,GSM4257082,Subcutaneous adipose tissue,SRP240641
SRR10853207,RNA-Seq,75,538362450,PRJNA600013,SAMN13766717,199742223,GEO,MUO,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX7523633,GSM4257083,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:03:00Z,1,GSM4257083,Subcutaneous adipose tissue,SRP240641
SRR10853208,RNA-Seq,75,546073950,PRJNA600013,SAMN13766717,202911284,GEO,MUO,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX7523633,GSM4257083,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:04:00Z,1,GSM4257083,Subcutaneous adipose tissue,SRP240641
SRR10853209,RNA-Seq,75,554661975,PRJNA600013,SAMN13766717,204573064,GEO,MUO,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX7523633,GSM4257083,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:04:00Z,1,GSM4257083,Subcutaneous adipose tissue,SRP240641
SRR10853210,RNA-Seq,75,194588325,PRJNA600013,SAMN13765719,78611217,GEO,MUO,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX7523634,GSM4257084,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:02:00Z,1,GSM4257084,Subcutaneous adipose tissue,SRP240641
SRR10853211,RNA-Seq,75,198213375,PRJNA600013,SAMN13765719,79764233,GEO,MUO,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX7523634,GSM4257084,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:03:00Z,1,GSM4257084,Subcutaneous adipose tissue,SRP240641
SRR10853212,RNA-Seq,75,632915775,PRJNA600013,SAMN13765693,235911600,GEO,MUO,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX7523635,GSM4257085,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:04:00Z,1,GSM4257085,Subcutaneous adipose tissue,SRP240641
SRR10853213,RNA-Seq,75,639359475,PRJNA600013,SAMN13765693,238798594,GEO,MUO,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX7523635,GSM4257085,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:04:00Z,1,GSM4257085,Subcutaneous adipose tissue,SRP240641
SRR10853214,RNA-Seq,75,648338250,PRJNA600013,SAMN13765693,240517758,GEO,MUO,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX7523635,GSM4257085,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:04:00Z,1,GSM4257085,Subcutaneous adipose tissue,SRP240641
SRR10853215,RNA-Seq,75,345130200,PRJNA600013,SAMN13766672,138162515,GEO,MUO,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX7523636,GSM4257086,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:03:00Z,1,GSM4257086,Subcutaneous adipose tissue,SRP240641
SRR10853216,RNA-Seq,75,351755325,PRJNA600013,SAMN13766672,140252564,GEO,MUO,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX7523636,GSM4257086,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:03:00Z,1,GSM4257086,Subcutaneous adipose tissue,SRP240641
SRR10853217,RNA-Seq,75,405410325,PRJNA600013,SAMN13766658,161649833,GEO,MUO,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7523637,GSM4257087,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-15T00:00:00Z,2020-01-08T18:03:00Z,1,GSM4257087,Subcutaneous adipose tissue,SRP240641
