Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),hepatic_zone,Instrument,isolation,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue
SRR6188618,Bisulfite-Seq,101,5257601763,PRJNA414905,SAMN07810296,2410428451,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX3298632,GSM2819630,pericentral (CV),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:11:00Z,1,GSM2819630,hepatocytes,SRP120376,liver
SRR6188619,Bisulfite-Seq,100,5390696880,PRJNA414905,SAMN07811012,2503850157,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX3298633,GSM2819631,pericentral (CV),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:15:00Z,1,GSM2819631,hepatocytes,SRP120376,liver
SRR6188620,Bisulfite-Seq,101,5134796166,PRJNA414905,SAMN07811011,2356088410,GEO,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX3298634,GSM2819632,pericentral (CV),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:14:00Z,1,GSM2819632,hepatocytes,SRP120376,liver
SRR6188621,Bisulfite-Seq,100,5400095127,PRJNA414905,SAMN07811010,2485111289,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX3298635,GSM2819633,pericentral (CV),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:34:00Z,1,GSM2819633,hepatocytes,SRP120376,liver
SRR6188622,Bisulfite-Seq,101,5090740168,PRJNA414905,SAMN07811009,2300010423,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX3298636,GSM2819634,pericentral (CV),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:18:00Z,1,GSM2819634,hepatocytes,SRP120376,liver
SRR6188623,Bisulfite-Seq,101,6493527249,PRJNA414905,SAMN07811008,2976490425,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298637,GSM2819635,pericentral (CV),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:38:00Z,1,GSM2819635,hepatocytes,SRP120376,liver
SRR6188624,Bisulfite-Seq,100,5257166776,PRJNA414905,SAMN07811007,2402412056,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX3298638,GSM2819636,pericentral (CV),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:15:00Z,1,GSM2819636,hepatocytes,SRP120376,liver
SRR6188625,Bisulfite-Seq,99,4731980131,PRJNA414905,SAMN07811006,2167408843,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX3298639,GSM2819637,pericentral (CV),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:30:00Z,1,GSM2819637,hepatocytes,SRP120376,liver
SRR6188626,Bisulfite-Seq,100,4617509075,PRJNA414905,SAMN07811005,2085804790,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX3298640,GSM2819638,pericentral (CV),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:13:00Z,1,GSM2819638,hepatocytes,SRP120376,liver
SRR6188627,Bisulfite-Seq,101,4568681369,PRJNA414905,SAMN07811004,2018639863,GEO,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX3298641,GSM2819639,intermediate (IZ),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:12:00Z,1,GSM2819639,hepatocytes,SRP120376,liver
SRR6188628,Bisulfite-Seq,101,5330929783,PRJNA414905,SAMN07811003,2445129021,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX3298642,GSM2819640,intermediate (IZ),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:20:00Z,1,GSM2819640,hepatocytes,SRP120376,liver
SRR6188629,Bisulfite-Seq,101,6526588185,PRJNA414905,SAMN07811002,3001119767,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX3298643,GSM2819641,intermediate (IZ),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:22:00Z,1,GSM2819641,hepatocytes,SRP120376,liver
SRR6188630,Bisulfite-Seq,101,5794888029,PRJNA414905,SAMN07811001,2628480819,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298644,GSM2819642,intermediate (IZ),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:21:00Z,1,GSM2819642,hepatocytes,SRP120376,liver
SRR6188631,Bisulfite-Seq,101,5413065609,PRJNA414905,SAMN07811000,2453138470,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX3298645,GSM2819643,intermediate (IZ),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:18:00Z,1,GSM2819643,hepatocytes,SRP120376,liver
SRR6188632,Bisulfite-Seq,99,4827264190,PRJNA414905,SAMN07810999,2271547869,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3298646,GSM2819644,intermediate (IZ),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:17:00Z,1,GSM2819644,hepatocytes,SRP120376,liver
SRR6188633,Bisulfite-Seq,101,3260728238,PRJNA414905,SAMN07810998,1492124030,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3298647,GSM2819645,intermediate (IZ),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:15:00Z,1,GSM2819645,hepatocytes,SRP120376,liver
SRR6188634,Bisulfite-Seq,101,5091899951,PRJNA414905,SAMN07810997,2378698954,GEO,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX3298648,GSM2819646,intermediate (IZ),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:15:00Z,1,GSM2819646,hepatocytes,SRP120376,liver
SRR6188635,Bisulfite-Seq,101,4599366785,PRJNA414905,SAMN07810996,2119768836,GEO,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX3298649,GSM2819647,intermediate (IZ),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:25:00Z,1,GSM2819647,hepatocytes,SRP120376,liver
SRR6188636,Bisulfite-Seq,101,4847377840,PRJNA414905,SAMN07810995,2258721398,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX3298650,GSM2819648,intermediate (IZ),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:19:00Z,1,GSM2819648,hepatocytes,SRP120376,liver
SRR6188637,Bisulfite-Seq,101,5871065158,PRJNA414905,SAMN07810994,2643989888,GEO,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX3298651,GSM2819649,intermediate (IZ),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:23:00Z,1,GSM2819649,hepatocytes,SRP120376,liver
SRR6188638,Bisulfite-Seq,101,6270062224,PRJNA414905,SAMN07810993,2850784032,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX3298652,GSM2819650,intermediate (IZ),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:32:00Z,1,GSM2819650,hepatocytes,SRP120376,liver
SRR6188639,Bisulfite-Seq,101,4239881525,PRJNA414905,SAMN07810992,1883347420,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX3298653,GSM2819651,intermediate (IZ),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:13:00Z,1,GSM2819651,hepatocytes,SRP120376,liver
SRR6188640,Bisulfite-Seq,101,5941184610,PRJNA414905,SAMN07810991,2758043400,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX3298654,GSM2819652,intermediate (IZ),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:26:00Z,1,GSM2819652,hepatocytes,SRP120376,liver
SRR6188641,Bisulfite-Seq,101,5322909070,PRJNA414905,SAMN07810990,2419426837,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX3298655,GSM2819653,intermediate (IZ),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:19:00Z,1,GSM2819653,hepatocytes,SRP120376,liver
SRR6188642,Bisulfite-Seq,99,5259375254,PRJNA414905,SAMN07810986,2455312148,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX3298656,GSM2819654,intermediate (IZ),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:21:00Z,1,GSM2819654,hepatocytes,SRP120376,liver
SRR6188643,Bisulfite-Seq,100,5558114456,PRJNA414905,SAMN07810989,2537173505,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX3298657,GSM2819655,intermediate (IZ),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:19:00Z,1,GSM2819655,hepatocytes,SRP120376,liver
SRR6188644,Bisulfite-Seq,100,4936495467,PRJNA414905,SAMN07810988,2269212443,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3298658,GSM2819656,intermediate (IZ),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:25:00Z,1,GSM2819656,hepatocytes,SRP120376,liver
SRR6188645,Bisulfite-Seq,100,4728168272,PRJNA414905,SAMN07810987,2116842262,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX3298659,GSM2819657,intermediate (IZ),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:23:00Z,1,GSM2819657,hepatocytes,SRP120376,liver
SRR6188646,Bisulfite-Seq,101,5825378212,PRJNA414905,SAMN07810985,2569598940,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX3298660,GSM2819658,periportal (PP),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:19:00Z,1,GSM2819658,hepatocytes,SRP120376,liver
SRR6188647,Bisulfite-Seq,101,6204247190,PRJNA414905,SAMN07810984,2840191589,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX3298661,GSM2819659,periportal (PP),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:29:00Z,1,GSM2819659,hepatocytes,SRP120376,liver
SRR6188648,Bisulfite-Seq,101,5100052974,PRJNA414905,SAMN07810983,2358872109,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX3298662,GSM2819660,periportal (PP),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:24:00Z,1,GSM2819660,hepatocytes,SRP120376,liver
SRR6188649,Bisulfite-Seq,101,5175395439,PRJNA414905,SAMN07810654,2391322567,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX3298663,GSM2819661,periportal (PP),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:22:00Z,1,GSM2819661,hepatocytes,SRP120376,liver
SRR6188650,Bisulfite-Seq,101,3817219250,PRJNA414905,SAMN07810653,1733295208,GEO,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298664,GSM2819662,periportal (PP),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:22:00Z,1,GSM2819662,hepatocytes,SRP120376,liver
SRR6188651,Bisulfite-Seq,101,6120685042,PRJNA414905,SAMN07810652,2787534840,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX3298665,GSM2819663,periportal (PP),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:31:00Z,1,GSM2819663,hepatocytes,SRP120376,liver
SRR6188652,Bisulfite-Seq,101,5056475716,PRJNA414905,SAMN07810651,2303597116,GEO,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX3298666,GSM2819664,periportal (PP),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:40:00Z,1,GSM2819664,hepatocytes,SRP120376,liver
SRR6188653,Bisulfite-Seq,101,5326534263,PRJNA414905,SAMN07810650,2487273771,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX3298667,GSM2819665,periportal (PP),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:29:00Z,1,GSM2819665,hepatocytes,SRP120376,liver
SRR6188654,Bisulfite-Seq,101,4677050127,PRJNA414905,SAMN07810649,2170777358,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX3298668,GSM2819666,periportal (PP),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:21:00Z,1,GSM2819666,hepatocytes,SRP120376,liver
SRR6188655,Bisulfite-Seq,101,5577437251,PRJNA414905,SAMN07810648,2540874481,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX3298669,GSM2819667,periportal (PP),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:25:00Z,1,GSM2819667,hepatocytes,SRP120376,liver
SRR6188656,Bisulfite-Seq,100,4690531733,PRJNA414905,SAMN07810647,2154194986,GEO,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX3298670,GSM2819668,periportal (PP),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:19:00Z,1,GSM2819668,hepatocytes,SRP120376,liver
SRR6188657,Bisulfite-Seq,101,3646692264,PRJNA414905,SAMN07810646,1657164588,GEO,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX3298671,GSM2819669,periportal (PP),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:15:00Z,1,GSM2819669,hepatocytes,SRP120376,liver
SRR6188658,Bisulfite-Seq,101,6271137369,PRJNA414905,SAMN07810645,2861473664,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX3298672,GSM2819670,periportal (PP),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:33:00Z,1,GSM2819670,hepatocytes,SRP120376,liver
SRR6188659,Bisulfite-Seq,101,5290693302,PRJNA414905,SAMN07810644,2431065908,GEO,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX3298673,GSM2819671,periportal (PP),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:26:00Z,1,GSM2819671,hepatocytes,SRP120376,liver
SRR6188660,Bisulfite-Seq,101,6754004431,PRJNA414905,SAMN07810643,3129432690,GEO,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX3298674,GSM2819672,periportal (PP),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:39:00Z,1,GSM2819672,hepatocytes,SRP120376,liver
SRR6188661,Bisulfite-Seq,101,5321412957,PRJNA414905,SAMN07810642,2419078874,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX3298675,GSM2819673,periportal (PP),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:29:00Z,1,GSM2819673,hepatocytes,SRP120376,liver
SRR6188662,Bisulfite-Seq,99,4575332167,PRJNA414905,SAMN07810641,2110426485,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3298676,GSM2819674,periportal (PP),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:21:00Z,1,GSM2819674,hepatocytes,SRP120376,liver
SRR6188663,Bisulfite-Seq,99,6090626901,PRJNA414905,SAMN07810640,2821732042,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX3298677,GSM2819675,periportal (PP),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:30:00Z,1,GSM2819675,hepatocytes,SRP120376,liver
SRR6188664,Bisulfite-Seq,99,5390075716,PRJNA414905,SAMN07810639,2437274621,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX3298678,GSM2819676,periportal (PP),Illumina HiSeq 2500,laser capture microdissection,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2017-10-18T17:25:00Z,1,GSM2819676,hepatocytes,SRP120376,liver
SRR7343941,RNA-Seq,76,1548789256,PRJNA414905,SAMN07810638,1140460312,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX3298679,GSM2819677,pericentral (CV),Illumina HiSeq 2500,laser capture microdissection,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-09-13T00:00:00Z,2018-06-14T18:14:00Z,1,GSM2819677,hepatocytes,SRP120376,liver
